Timestamp,Direction,Status,Source,Destination,Command,Length,Crc,Data
2019-04-11T13:38:44.099,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:38:47.247,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:38:47.377,Received,Valid,0x80,0xE4,0xF0,0xD2,0xDA47,0x03FFF040001A507600000000000000000000000A000000010000000000180A57000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A541A000000000000000000000009000000010000000000180EA7000000000000000000000000000000000000000000000000000000010000000100000000FFF240001971D700000000000000000000000500000001000000000017F4C2000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:39:03.265,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:39:03.285,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:39:03.979,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:39:04.669,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
2019-04-11T13:39:05.351,Received,Valid,0xBC,0x80,0xF5,0x08,0x3A12,
2019-04-11T13:39:12.239,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:39:12.299,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:39:12.910,Received,Valid,0xBF,0x80,0xF5,0x5C,0xE6A9,0x04600006D828C908562260030100600220425347594656575700000000000000000000000000000000000000000000000060012047455F4D4F44554C455F35363232000000000000000000000000000000000000
2019-04-11T13:39:13.452,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:39:42.234,Received,Valid,0x80,0xBF,0xF2,0x15,0x6C8D,0x04600000600300600200600100
2019-04-11T13:39:42.293,Received,Valid,0xBF,0x80,0xF2,0x11,0x6E21,0x046000600360026001
2019-04-11T13:39:42.955,Received,Valid,0x80,0xBF,0xF5,0x08,0x82ED,
2019-04-11T13:39:43.646,Received,Valid,0xBC,0x80,0xF5,0x2C,0xD1C4,0x056200040000000062010400000000620204000000006203040000000062040400000000
2019-04-11T13:39:44.319,Received,Valid,0x80,0xBC,0xF5,0x08,0x1931,
2019-04-11T13:39:47.250,Sent,Acknowledged,0xE4,0x80,0xF0,0x0F,0xAA93,0x03FFF0FFF1FFF2
2019-04-11T13:39:47.370,Received,Valid,0x80,0xE4,0xF0,0xD2,0x208B,0x03FFF040001A55DE00000000000000000000000A000000010000000000180F47000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A5983000000000000000000000009000000010000000000181398000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019773000000000000000000000000500000001000000000017F9AE000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:39:47.882,Received,Valid,0x80,0xE4,0xF0,0xD2,0xFF29,0x03FFF040001A55DE00000000000000000000000A000000010000000000180F47000000000000000000000000000000000000000000000000000000010000000100000000FFF140001A5983000000000000000000000009000000010000000000181398000000000000000000000000000000000000000000000000000000010000000100000000FFF2400019774600000000000000000000000500000001000000000017F9C3000000000000000000000000000000000000000000000000000000010000000100000000
2019-04-11T13:40:03.275,Received,Valid,0xBC,0x80,0xF2,0x12,0xB4F8,0x03F33300F31300F33600
2019-04-11T13:40:03.295,Received,Valid,0x80,0xBC,0xF2,0x0F,0xC63E,0x03F333F313F336
2019-04-11T13:40:03.986,Received,Valid,0x80,0xBC,0xF1,0x0B,0x29BE,0x01F338
2019-04-11T13:40:04.679,Received,Valid,0x80,0xBC,0xF5,0x1A,0x9845,0x03F3330101F3130100F33606000000000000
2019-04-11T13:40:05.360,Received,Valid,0xBC,0x80,0xF1,0x09,0x3F69,0x00
